$Bloodsoaked Champion$,$1$,$Rare$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=386494&type=card$,$1$
$Temmet, Vizier of Naktamun$,$1$,$Rare$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426909&type=card$,$2$
$Back from the Brink$,$1$,$Rare$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=249663&type=card$,$6$
$River Serpent$,$2$,$Common$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426768&type=card$,$6$
$Embalmer's Tools$,$3$,$Uncommon$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426929&type=card$,$2$
$Anointer Priest$,$4$,$Common$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426705&type=card$,$2$
$Contingency Plan$,$4$,$Common$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=414344&type=card$,$2$
$Aven Initiate$,$2$,$Common$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426745&type=card$,$4$
$Cathartic Reunion$,$4$,$Common$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=417682&type=card$,$2$
$Oketra's Attendant$,$2$,$Uncommon$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426724&type=card$,$5$
$Balthor the Defiled$,$1$,$Rare$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=20842&type=card$,$4$
$Trueheart Duelist$,$2$,$Uncommon$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426737&type=card$,$2$
$Cellar Door$,$2$,$Uncommon$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220390&type=card$,$2$
$Countervailing Winds$,$3$,$Common$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430721&type=card$,$3$
$Vizier of the Anointed$,$5$,$Uncommon$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430744&type=card$,$4$
$Bonehoard$,$2$,$Rare$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430430&type=card$,$4$
$Scarab Feast$,$1$,$Common$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426808&type=card$,$1$
$Final Reward$,$3$,$Common$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426794&type=card$,$5$
$Gravedigger$,$2$,$Uncommon$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4223&type=card$,$4$
$Warfire Javelineer$,$3$,$Uncommon$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426857&type=card$,$4$
$Cryptic Serpent$,$3$,$Uncommon$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426750&type=card$,$7$
$Glyph Keeper$,$2$,$Rare$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426757&type=card$,$5$
$Countryside Crusher$,$1$,$Rare$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=370544&type=card$,$3$
$Miasmic Mummy$,$4$,$Common$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426802&type=card$,$2$
$Cairn Wanderer$,$1$,$Rare$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=140171&type=card$,$5$
$God-Pharaoh's Gift$,$2$,$Rare$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430850&type=card$,$7$
$Adorned Pouncer$,$1$,$Rare$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430691&type=card$,$2$
$Balduvian Dead$,$2$,$Uncommon$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=184735&type=card$,$4$
$Bedlam Reveler$,$1$,$Rare$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=414415&type=card$,$8$
$Compelling Argument$,$4$,$Common$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426749&type=card$,$2$
$Ruin Rat$,$2$,$Common$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430764&type=card$,$2$
$Beckon Apparition$,$2$,$Common$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=366461&type=card$,$1$
$Enigma Drake$,$5$,$Uncommon$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426900&type=card$,$3$
$Sacred Cat$,$6$,$Common$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426729&type=card$,$1$
$Betrayal of Flesh$,$4$,$Uncommon$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=48588&type=card$,$6$
$Bone Picker$,$2$,$Uncommon$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426783&type=card$,$4$
$Armored Skaab$,$3$,$Common$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=244685&type=card$,$3$
$Dreamstealer$,$2$,$Rare$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430752&type=card$,$3$
$Champion of Wits$,$2$,$Rare$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430720&type=card$,$3$
$Animal Magnetism$,$1$,$Rare$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=42190&type=card$,$5$
$Boneyard Wurm$,$4$,$Uncommon$,$http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=338400&type=card$,$2$
